S1,00-00-00-00-00-01
S2,00-00-00-00-00-02
S3,00-00-00-00-00-03
S4,00-00-00-00-00-04
S5,00-00-00-00-00-05
S7,00-00-00-00-00-07
S14,00-00-00-00-00-0e
S51,00-00-00-00-00-33
S52,00-00-00-00-00-34
S53,00-00-00-00-00-35
S54,00-00-00-00-00-36
S55,00-00-00-00-00-37
S25,00-00-00-00-00-19
S26,00-00-00-00-00-1a
S10,00-00-00-00-00-0a
S59,00-00-00-00-00-3b
S20,00-00-00-00-00-14
S6,00-00-00-00-00-06
S8,00-00-00-00-00-08
S9,00-00-00-00-00-09
S11,00-00-00-00-00-0b
S12,00-00-00-00-00-0c
S13,00-00-00-00-00-0d
S15,00-00-00-00-00-0f
S16,00-00-00-00-00-10
S17,00-00-00-00-00-11
S18,00-00-00-00-00-12
S19,00-00-00-00-00-13
S22,00-00-00-00-00-16
S23,00-00-00-00-00-17
S27,00-00-00-00-00-1b
S32,00-00-00-00-00-20
S33,00-00-00-00-00-21
S34,00-00-00-00-00-22
S35,00-00-00-00-00-23
S36,00-00-00-00-00-24
S38,00-00-00-00-00-26
S39,00-00-00-00-00-27
S40,00-00-00-00-00-28
S41,00-00-00-00-00-29
S42,00-00-00-00-00-2a
S43,00-00-00-00-00-2b
S44,00-00-00-00-00-2c
S45,00-00-00-00-00-2d
S46,00-00-00-00-00-2e
S47,00-00-00-00-00-2f
S48,00-00-00-00-00-30
S37,00-00-00-00-00-25
S50,00-00-00-00-00-32
S31,00-00-00-00-00-1f
S57,00-00-00-00-00-39
S56,00-00-00-00-00-38
S60,00-00-00-00-00-3c
S61,00-00-00-00-00-3d
S63,00-00-00-00-00-3f
S21,00-00-00-00-00-15
S58,00-00-00-00-00-3a
S24,00-00-00-00-00-18
S28,00-00-00-00-00-1c
S29,00-00-00-00-00-1d
S30,00-00-00-00-00-1e
S49,00-00-00-00-00-31
S62,00-00-00-00-00-3e
