S1,00-00-00-00-00-01
S2,00-00-00-00-00-02
S4,00-00-00-00-00-04
S12,00-00-00-00-00-0c
S13,00-00-00-00-00-0d
S14,00-00-00-00-00-0e
S16,00-00-00-00-00-10
S17,00-00-00-00-00-11
S18,00-00-00-00-00-12
S20,00-00-00-00-00-14
S21,00-00-00-00-00-15
S22,00-00-00-00-00-16
S23,00-00-00-00-00-17
S24,00-00-00-00-00-18
S25,00-00-00-00-00-19
S26,00-00-00-00-00-1a
S27,00-00-00-00-00-1b
S28,00-00-00-00-00-1c
S29,00-00-00-00-00-1d
S3,00-00-00-00-00-03
S32,00-00-00-00-00-20
S33,00-00-00-00-00-21
S5,00-00-00-00-00-05
S41,00-00-00-00-00-29
S42,00-00-00-00-00-2a
S34,00-00-00-00-00-22
S31,00-00-00-00-00-1f
S6,00-00-00-00-00-06
S7,00-00-00-00-00-07
S8,00-00-00-00-00-08
S9,00-00-00-00-00-09
S10,00-00-00-00-00-0a
S11,00-00-00-00-00-0b
S43,00-00-00-00-00-2b
S44,00-00-00-00-00-2c
S15,00-00-00-00-00-0f
S35,00-00-00-00-00-23
S36,00-00-00-00-00-24
S37,00-00-00-00-00-25
S38,00-00-00-00-00-26
S39,00-00-00-00-00-27
S19,00-00-00-00-00-13
S30,00-00-00-00-00-1e
S40,00-00-00-00-00-28
