S1,00-00-00-00-00-01
S2,00-00-00-00-00-02
S3,00-00-00-00-00-03
S32,00-00-00-00-00-20
S34,00-00-00-00-00-22
S35,00-00-00-00-00-23
S33,00-00-00-00-00-21
S10,00-00-00-00-00-0a
S13,00-00-00-00-00-0d
S15,00-00-00-00-00-0f
S19,00-00-00-00-00-13
S4,00-00-00-00-00-04
S5,00-00-00-00-00-05
S6,00-00-00-00-00-06
S11,00-00-00-00-00-0b
S47,00-00-00-00-00-2f
S48,00-00-00-00-00-30
S49,00-00-00-00-00-31
S50,00-00-00-00-00-32
S56,00-00-00-00-00-38
S29,00-00-00-00-00-1d
S7,00-00-00-00-00-07
S51,00-00-00-00-00-33
S52,00-00-00-00-00-34
S8,00-00-00-00-00-08
S9,00-00-00-00-00-09
S12,00-00-00-00-00-0c
S64,00-00-00-00-00-40
S63,00-00-00-00-00-3f
S66,00-00-00-00-00-42
S14,00-00-00-00-00-0e
S40,00-00-00-00-00-28
S58,00-00-00-00-00-3a
S17,00-00-00-00-00-11
S18,00-00-00-00-00-12
S26,00-00-00-00-00-1a
S31,00-00-00-00-00-1f
S16,00-00-00-00-00-10
S44,00-00-00-00-00-2c
S45,00-00-00-00-00-2d
S46,00-00-00-00-00-2e
S20,00-00-00-00-00-14
S37,00-00-00-00-00-25
S41,00-00-00-00-00-29
S61,00-00-00-00-00-3d
S59,00-00-00-00-00-3b
S60,00-00-00-00-00-3c
S62,00-00-00-00-00-3e
S53,00-00-00-00-00-35
S42,00-00-00-00-00-2a
S55,00-00-00-00-00-37
S54,00-00-00-00-00-36
S69,00-00-00-00-00-45
S70,00-00-00-00-00-46
S68,00-00-00-00-00-44
S21,00-00-00-00-00-15
S22,00-00-00-00-00-16
S23,00-00-00-00-00-17
S24,00-00-00-00-00-18
S25,00-00-00-00-00-19
S38,00-00-00-00-00-26
S27,00-00-00-00-00-1b
S28,00-00-00-00-00-1c
S30,00-00-00-00-00-1e
S43,00-00-00-00-00-2b
S57,00-00-00-00-00-39
S36,00-00-00-00-00-24
S67,00-00-00-00-00-43
S39,00-00-00-00-00-27
S65,00-00-00-00-00-41
